ctry,corr,edu,tert,sof,sof_l
CHL,49.25,1,tertiary,0,else
CHL,45.02,1,tertiary,0,else
CHL,29.14,0,none-tertiary,0,else
CHL,49.25,1,tertiary,0,else
CHL,51.18,0,none-tertiary,0,else
CHL,29.14,1,tertiary,1,highest
CHL,53.01,0,none-tertiary,0,else
CHL,49.25,0,none-tertiary,0,else
CHL,49.25,0,none-tertiary,0,else
CHL,42.63,1,tertiary,0,else
CHL,29.14,0,none-tertiary,0,else
CHL,39.83,0,none-tertiary,0,else
CHL,47.2,0,none-tertiary,0,else
CHL,39.83,0,none-tertiary,1,highest
CHL,39.83,0,none-tertiary,0,else
CHL,29.14,0,none-tertiary,1,highest
CHL,49.25,0,none-tertiary,0,else
CHL,51.18,0,none-tertiary,0,else
CHL,29.14,0,none-tertiary,1,highest
CHL,42.63,0,none-tertiary,0,else
CHL,47.2,0,none-tertiary,0,else
CHL,49.25,1,tertiary,1,highest
CHL,29.14,0,none-tertiary,0,else
CHL,76.76,0,none-tertiary,0,else
CHL,36.12,1,tertiary,1,highest
CHL,42.63,0,none-tertiary,0,else
CHL,29.14,0,none-tertiary,1,highest
CHL,47.2,0,none-tertiary,1,highest
CHL,29.14,0,none-tertiary,1,highest
CHL,49.25,0,none-tertiary,0,else
CHL,41.18,0,none-tertiary,0,else
CHL,56.37,0,none-tertiary,0,else
CHL,49.25,0,none-tertiary,0,else
CHL,29.14,1,tertiary,0,else
CHL,51.18,0,none-tertiary,0,else
CHL,49.25,0,none-tertiary,0,else
CHL,29.14,0,none-tertiary,1,highest
CHL,36.12,0,none-tertiary,0,else
CHL,45.02,0,none-tertiary,0,else
CHL,47.2,0,none-tertiary,0,else
CHL,29.14,0,none-tertiary,1,highest
CHL,42.63,1,tertiary,0,else
CHL,29.14,1,tertiary,0,else
CHL,36.12,1,tertiary,0,else
CHL,42.63,0,none-tertiary,0,else
CHL,39.83,0,none-tertiary,1,highest
CHL,42.63,0,none-tertiary,0,else
CHL,29.14,0,none-tertiary,0,else
CHL,39.83,1,tertiary,0,else
CHL,36.12,0,none-tertiary,1,highest
CHL,59.49,0,none-tertiary,0,else
CHL,42.63,1,tertiary,1,highest
CHL,51.18,1,tertiary,0,else
CHL,76.76,0,none-tertiary,0,else
CHL,49.25,1,tertiary,1,highest
CHL,51.18,1,tertiary,1,highest
CHL,36.12,1,tertiary,0,else
CHL,29.14,1,tertiary,1,highest
CHL,36.12,0,none-tertiary,0,else
CHL,49.25,1,tertiary,1,highest
CHL,51.18,0,none-tertiary,1,highest
CHL,47.2,0,none-tertiary,0,else
CHL,29.14,0,none-tertiary,0,else
CHL,53.01,1,tertiary,1,highest
CHL,49.25,0,none-tertiary,0,else
CHL,45.02,0,none-tertiary,0,else
CHL,39.83,1,tertiary,1,highest
CHL,29.14,0,none-tertiary,0,else
CHL,45.02,0,none-tertiary,0,else
CHL,49.25,0,none-tertiary,0,else
CHL,51.18,0,none-tertiary,0,else
CHL,39.83,1,tertiary,1,highest
CHL,36.12,0,none-tertiary,0,else
CHL,29.14,1,tertiary,1,highest
CHL,29.14,0,none-tertiary,0,else
CHL,49.25,0,none-tertiary,1,highest
CHL,29.14,0,none-tertiary,1,highest
CHL,29.14,0,none-tertiary,0,else
CHL,29.14,1,tertiary,0,else
CHL,39.83,0,none-tertiary,0,else
CHL,50.91,0,none-tertiary,0,else
CHL,36.12,0,none-tertiary,1,highest
CHL,36.12,0,none-tertiary,1,highest
CHL,39.83,0,none-tertiary,1,highest
CHL,42.63,0,none-tertiary,0,else
CHL,49.25,0,none-tertiary,0,else
CHL,29.14,0,none-tertiary,1,highest
CHL,42.63,1,tertiary,0,else
CHL,29.14,0,none-tertiary,1,highest
CHL,36.12,1,tertiary,1,highest
CHL,29.14,0,none-tertiary,0,else
CHL,49.25,0,none-tertiary,1,highest
CHL,29.14,0,none-tertiary,1,highest
CHL,29.14,0,none-tertiary,0,else
CHL,53.01,0,none-tertiary,0,else
CHL,54.74,0,none-tertiary,0,else
CHL,47.2,0,none-tertiary,0,else
CHL,39.83,1,tertiary,1,highest
CHL,53.1,0,none-tertiary,0,else
CHL,42.63,0,none-tertiary,1,highest
CHL,29.14,0,none-tertiary,0,else
CHL,29.14,0,none-tertiary,1,highest
CHL,51.18,1,tertiary,0,else
CHL,29.14,0,none-tertiary,0,else
CHL,47.2,1,tertiary,0,else
CHL,29.14,1,tertiary,0,else
CHL,45.02,0,none-tertiary,0,else
CHL,49.25,0,none-tertiary,0,else
CHL,29.14,1,tertiary,1,highest
CHL,51.18,1,tertiary,0,else
CHL,59.49,0,none-tertiary,0,else
CHL,49.25,1,tertiary,0,else
CHL,29.14,0,none-tertiary,1,highest
CHL,29.14,0,none-tertiary,1,highest
CHL,36.12,0,none-tertiary,1,highest
CHL,36.12,1,tertiary,1,highest
CHL,36.12,0,none-tertiary,1,highest
CHL,29.14,1,tertiary,0,else
CHL,42.63,1,tertiary,0,else
CHL,29.14,1,tertiary,0,else
CHL,39.83,0,none-tertiary,0,else
CHL,47.2,0,none-tertiary,1,highest
CHL,29.14,0,none-tertiary,1,highest
CHL,29.14,0,none-tertiary,0,else
CHL,53.01,0,none-tertiary,0,else
CHL,29.14,1,tertiary,1,highest
CHL,29.14,1,tertiary,0,else
CHL,36.12,0,none-tertiary,0,else
CHL,45.02,0,none-tertiary,1,highest
CHL,51.18,1,tertiary,1,highest
CHL,42.63,0,none-tertiary,1,highest
CHL,47.2,1,tertiary,0,else
CHL,39.83,0,none-tertiary,1,highest
CHL,51.18,0,none-tertiary,0,else
CHL,29.14,0,none-tertiary,0,else
CHL,42.63,0,none-tertiary,1,highest
CHL,64.63,0,none-tertiary,0,else
CHL,47.2,0,none-tertiary,0,else
CHL,39.83,0,none-tertiary,0,else
CHL,29.14,0,none-tertiary,0,else
CHL,45.02,1,tertiary,1,highest
CHL,39.83,0,none-tertiary,0,else
CHL,29.14,1,tertiary,0,else
CHL,45.02,0,none-tertiary,1,highest
CHL,47.2,0,none-tertiary,1,highest
CHL,42.63,1,tertiary,0,else
CHL,39.83,0,none-tertiary,0,else
CHL,51.18,1,tertiary,0,else
CHL,47.2,0,none-tertiary,0,else
CHL,49.25,0,none-tertiary,1,highest
CHL,40.92,0,none-tertiary,0,else
CHL,49.25,0,none-tertiary,0,else
CHL,29.14,0,none-tertiary,0,else
CHL,36.12,1,tertiary,1,highest
CHL,29.14,0,none-tertiary,0,else
CHL,29.14,0,none-tertiary,1,highest
CHL,49.25,1,tertiary,0,else
CHL,29.14,0,none-tertiary,0,else
CHL,51.18,0,none-tertiary,0,else
CHL,54.74,1,tertiary,0,else
CHL,42.63,0,none-tertiary,0,else
CHL,29.14,0,none-tertiary,1,highest
CHL,36.12,1,tertiary,1,highest
CHL,29.14,0,none-tertiary,1,highest
CHL,51.18,1,tertiary,0,else
CHL,49.25,0,none-tertiary,0,else
CHL,56.37,0,none-tertiary,0,else
CHL,56.37,0,none-tertiary,0,else
CHL,54.74,0,none-tertiary,0,else
CHL,47.2,1,tertiary,0,else
CHL,49.25,0,none-tertiary,0,else
CHL,45.02,0,none-tertiary,0,else
CHL,56.37,0,none-tertiary,0,else
CHL,49.25,1,tertiary,0,else
CHL,29.14,0,none-tertiary,1,highest
CHL,49.25,0,none-tertiary,0,else
CHL,51.18,1,tertiary,0,else
